"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.601876014E2,1.686753414E1,7.356106602E1,1.534382990E2,9.938535552E0,1.249078979E2,4.774585713E0,3.320823437E0
1.611876026E2,1.686748359E1,7.356113131E1,1.551182555E2,9.576986043E0,1.249078979E2,4.773088300E0,3.322975340E0
1.621876030E2,1.686743863E1,7.356120334E1,1.548019047E2,9.313208967E0,1.253134232E2,4.787510203E0,3.302163395E0
1.631876034E2,1.686738390E1,7.356126835E1,1.541871857E2,9.136416067E0,1.253134232E2,4.807627111E0,3.272805920E0
1.641876035E2,1.686733615E1,7.356133394E1,1.544770688E2,8.811789642E0,1.248703613E2,4.803380954E0,3.279034682E0
1.651876045E2,1.686730439E1,7.356140777E1,1.542147769E2,8.544352199E0,1.252286072E2,4.780379316E0,3.312478019E0
1.661876049E2,1.686725861E1,7.356147510E1,1.546715102E2,8.601352629E0,1.252286072E2,4.778274170E0,3.315513985E0
1.671876043E2,1.686722504E1,7.356154305E1,1.546153509E2,8.436364887E0,1.198095398E2,4.773127681E0,3.322918773E0
1.681876043E2,1.686718800E1,7.356161016E1,1.554145604E2,8.323136417E0,1.198291092E2,4.781188284E0,3.311310258E0
1.691876038E2,1.686715217E1,7.356167505E1,1.560773340E2,8.298935288E0,1.198291092E2,4.774561950E0,3.320857602E0
1.701876078E2,1.686711541E1,7.356174277E1,1.560406793E2,8.300221369E0,1.192071991E2,4.775674175E0,3.319257931E0
1.711876041E2,1.686708126E1,7.356180553E1,1.560534247E2,8.085530319E0,1.199389114E2,4.775717691E0,3.319195319E0
1.721876036E2,1.686704368E1,7.356187329E1,1.562631614E2,8.275602146E0,1.199389114E2,4.779791050E0,3.313326811E0
1.731876029E2,1.686700410E1,7.356194467E1,1.568323142E2,8.523111125E0,1.199389114E2,4.782244434E0,3.309784768E0
1.741876020E2,1.686696166E1,7.356202121E1,1.564721906E2,8.864570671E0,1.199389114E2,4.782727131E0,3.309087219E0
1.751876022E2,1.686692251E1,7.356209343E1,1.568028004E2,8.969746774E0,1.190985260E2,4.787227247E0,3.302573590E0
1.761876010E2,1.686688250E1,7.356217404E1,1.575955440E2,9.285486262E0,1.167344513E2,4.791592852E0,3.296236487E0
1.771876038E2,1.686684516E1,7.356225104E1,1.569317985E2,9.394716187E0,1.167344513E2,4.789514091E0,3.299256251E0
1.781875997E2,1.686680551E1,7.356233278E1,1.568275417E2,9.552933364E0,1.167344513E2,4.806690318E0,3.274181611E0
1.791875991E2,1.686676716E1,7.356241186E1,1.570754622E2,9.510204219E0,1.167344513E2,4.796874969E0,3.288544900E0
1.801875980E2,1.686672470E1,7.356249940E1,1.564313871E2,9.944700525E0,1.167344513E2,4.786911144E0,3.303031749E0
1.811875979E2,1.686668164E1,7.356258819E1,1.559720082E2,1.016768147E1,1.167344513E2,4.804300263E0,3.277687602E0
1.821875961E2,1.686663591E1,7.356268473E1,1.559586858E2,1.064952596E1,1.160928421E2,4.789246067E0,3.299645305E0
1.831875955E2,1.686659158E1,7.356278016E1,1.553346748E2,1.094647068E1,1.162224503E2,4.794888312E0,3.291440886E0
1.841875947E2,1.686654728E1,7.356287356E1,1.546607201E2,1.099421877E1,1.162224503E2,4.794273212E0,3.292336769E0
1.851875931E2,1.686650256E1,7.356296853E1,1.551451978E2,1.104753289E1,1.157068100E2,4.797570362E0,3.287530328E0
1.861875954E2,1.686645898E1,7.356306256E1,1.546441255E2,1.112923860E1,1.157068100E2,4.793970087E0,3.292778133E0
1.871875913E2,1.686641039E1,7.356316629E1,1.544058039E2,1.128820759E1,1.154241714E2,4.775515494E0,3.319486226E0
1.881875901E2,1.686636540E1,7.356326320E1,1.536093140E2,1.117440302E1,1.157957458E2,4.780049779E0,3.312953537E0
1.891875893E2,1.686632273E1,7.356335489E1,1.538428204E2,1.112796668E1,1.157951202E2,4.816000783E0,3.260471361E0
1.901875877E2,1.686628352E1,7.356344686E1,1.539696080E2,1.108667253E1,1.137033081E2,4.822856105E0,3.250322449E0
1.911875863E2,1.686624452E1,7.356353911E1,1.549489843E2,1.095864596E1,1.137033081E2,4.824373795E0,3.248069353E0
1.921875855E2,1.686620737E1,7.356362699E1,1.552025927E2,1.075912133E1,1.137033081E2,4.799266756E0,3.285053370E0
1.931875839E2,1.686616784E1,7.356372055E1,1.548344185E2,1.074280040E1,1.136373444E2,4.785442711E0,3.305158861E0
1.941875825E2,1.686612971E1,7.356381104E1,1.551124944E2,1.084445259E1,1.136373444E2,4.781089176E0,3.311453356E0
1.951875819E2,1.686609251E1,7.356389866E1,1.542123804E2,1.071369746E1,1.146397552E2,4.786632923E0,3.303434924E0
1.961875799E2,1.686603387E1,7.356397892E1,1.553894032E2,1.031737590E1,1.208084259E2,4.789480993E0,3.299304299E0
1.971875790E2,1.686599465E1,7.356406146E1,1.547465642E2,1.005055845E1,1.223444519E2,4.799140920E0,3.285237200E0
1.981875811E2,1.686595909E1,7.356412608E1,1.553752306E2,9.560114141E0,1.223444519E2,4.800027868E0,3.283941153E0
1.991875758E2,1.686589482E1,7.356421475E1,1.555604140E2,1.035753695E1,1.223444519E2,4.782954927E0,3.308757955E0
2.001875747E2,1.686585268E1,7.356429956E1,1.553978269E2,1.029420768E1,1.218475342E2,4.774806214E0,3.320506385E0
2.011875738E2,1.686580365E1,7.356438037E1,1.556319358E2,1.000798845E1,1.223752441E2,4.764341083E0,3.335504621E0
2.021875720E2,1.686575056E1,7.356446668E1,1.559071030E2,9.924584487E0,1.226391907E2,4.766949691E0,3.331775454E0
2.031875701E2,1.686568108E1,7.356455107E1,1.562284414E2,9.843407955E0,1.338188019E2,4.774342832E0,3.321172617E0
2.041875695E2,1.686561483E1,7.356462268E1,1.567941545E2,9.667303094E0,1.340131989E2,4.765178195E0,3.334308594E0
2.051875685E2,1.686555601E1,7.356468590E1,1.569963196E2,9.302059411E0,1.340131989E2,4.765328629E0,3.334093593E0
2.061875665E2,1.686549898E1,7.356474721E1,1.575001201E2,9.075023621E0,1.340131989E2,4.768268082E0,3.329888366E0
2.071875669E2,1.686543679E1,7.356481407E1,1.581173914E2,9.217691250E0,1.340131989E2,4.760255680E0,3.341332503E0
2.081875638E2,1.686537704E1,7.356487828E1,1.585184827E2,9.398234546E0,1.340131989E2,4.758857132E0,3.343324068E0
2.091875631E2,1.686531629E1,7.356494459E1,1.589321908E2,9.517863101E0,1.333916931E2,4.755991676E0,3.347399022E0
2.101875616E2,1.686526214E1,7.356501307E1,1.587836038E2,9.771511004E0,1.288062897E2,4.754835211E0,3.349041526E0
2.111875594E2,1.686520461E1,7.356508737E1,1.585468759E2,1.015936998E1,1.288062897E2,4.755357218E0,3.348300280E0
2.121875588E2,1.686514336E1,7.356516627E1,1.585928760E2,1.059368255E1,1.289501953E2,4.757755907E0,3.344890995E0
2.131875573E2,1.686507793E1,7.356525060E1,1.579634368E2,1.101512909E1,1.286123962E2,4.758273013E0,3.344155344E0
2.141875581E2,1.686501585E1,7.356533133E1,1.570512505E2,1.080737294E1,1.286123962E2,4.763395688E0,3.336854590E0
2.151875535E2,1.686497995E1,7.356541475E1,1.564739173E2,1.066459332E1,1.176690445E2,4.767744149E0,3.330638491E0
