"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.241266989E0,8.709874153E-1,7.250252724E0,6.329015732E0
7.262110495E0,7.537391186E-1,7.305287361E0,6.357729912E0
7.282954001E0,6.364908218E-1,7.360322475E0,6.352943897E0
7.303766989E0,5.264210105E-1,7.412964344E0,6.321837425E0
7.324610495E0,3.613162339E-1,7.460821152E0,6.364908218E0
7.345423483E0,3.756731451E-1,7.580461979E0,6.309873104E0
7.366266989E0,3.445664644E-1,7.618747234E0,6.307480335E0
7.387079978E0,4.043870270E-1,7.566105366E0,6.372086525E0
7.407923483E0,3.637090325E-1,7.511070251E0,6.362515450E0
7.428736472E0,5.455635786E-1,7.331608772E0,6.410371780E0
7.449549460E0,4.283152521E-1,7.278966427E0,6.556334019E0
7.470392966E0,5.623133183E-1,7.250252724E0,6.434299946E0
7.491205954E0,6.556333899E-1,7.195217609E0,6.477370739E0
7.512049460E0,7.250252366E-1,7.130611420E0,6.599404812E0
7.532892966E0,8.901300430E-1,7.111468792E0,6.484549522E0
7.553736472E0,9.834501147E-1,7.063612461E0,6.429514408E0
7.574549460E0,1.191625714E0,6.979863644E0,6.396014690E0
7.595392966E0,1.287338614E0,6.977470875E0,6.352943897E0
7.616236472E0,1.378265858E0,6.982256413E0,6.321837425E0
7.637049460E0,1.471585870E0,6.929614544E0,6.302694798E0
7.657892966E0,1.359123230E0,6.865008354E0,6.190232277E0
7.678736472E0,1.414158225E0,6.721438885E0,6.168696880E0
7.699579978E0,1.483550072E0,6.664011002E0,6.295516491E0
7.720392966E0,1.607976794E0,6.683153629E0,6.477370739E0
7.741236472E0,1.706082582E0,6.640082836E0,6.683153629E0
7.762049460E0,1.694118381E0,6.587440968E0,6.759724140E0
7.782892966E0,1.780260086E0,6.537191391E0,6.802794933E0
7.803705954E0,1.835294962E0,6.489335060E0,6.876972198E0
7.824549460E0,1.969292998E0,6.477370739E0,6.922435760E0
7.845392966E0,2.148754835E0,6.364908218E0,7.022934437E0
7.866236472E0,2.215753794E0,6.252445698E0,7.037291527E0
7.887049460E0,2.213361025E0,6.218945980E0,6.747759819E0
7.907862448E0,2.210968018E0,6.202196121E0,6.498906136E0
7.928705954E0,2.356930256E0,6.388836384E0,6.630511761E0
7.949549460E0,2.340180635E0,6.685546398E0,6.680760860E0
7.970362448E0,2.419143677E0,6.977470875E0,6.594619274E0
7.991205954E0,2.371287346E0,7.106683254E0,6.594619274E0
8.012018942E0,2.366501570E0,7.188039303E0,6.506084919E0
8.032862448E0,2.246860504E0,7.262216568E0,6.446264267E0
8.053705954E0,1.974078655E0,7.197610378E0,6.340980053E0
8.074549460E0,1.820937991E0,7.121040344E0,6.144768715E0
8.095362448E0,1.591227055E0,7.178467751E0,5.962913990E0
8.116205954E0,1.591227055E0,7.262216568E0,5.879165173E0
8.137049460E0,1.404586911E0,7.391428947E0,5.855237007E0
8.157892966E0,1.359123230E0,7.424928665E0,5.852844238E0
8.178736472E0,1.261017561E0,7.412964344E0,5.857629776E0
8.199549460E0,1.079162955E0,7.417750359E0,5.809773445E0
8.220423483E0,1.057627559E0,7.386643410E0,5.814558983E0
8.241236472E0,9.212366939E-1,7.415357590E0,5.970092297E0
8.262079978E0,1.007378340E0,7.429714203E0,6.013163090E0
8.282892966E0,9.547362328E-1,7.410571575E0,6.077769279E0
8.303736472E0,9.690931439E-1,7.372286797E0,6.051448345E0
8.324549460E0,1.079162955E0,7.415357590E0,6.032305717E0
8.345392966E0,1.162911773E0,7.420143127E0,6.123233318E0
8.366205954E0,1.272981644E0,7.384250641E0,6.163911343E0
8.387049460E0,1.277767301E0,7.341179848E0,6.130411625E0
8.407892966E0,1.385444283E0,7.233502865E0,6.195017815E0
8.428705954E0,1.430907965E0,7.161718369E0,6.309873104E0
8.449549460E0,1.478764415E0,7.135396957E0,6.321837425E0
8.470362448E0,1.552941918E0,7.073183537E0,6.326622963E0
8.491175437E0,1.569691658E0,6.970292568E0,6.419943333E0
8.511988425E0,1.658226132E0,6.927221775E0,6.431907177E0
8.532831931E0,1.653440475E0,6.898507595E0,6.446264267E0
8.553644919E0,1.715653777E0,6.860222340E0,6.412764549E0
8.574488425E0,1.670190215E0,6.893722057E0,6.362515450E0
8.595301413E0,1.653440475E0,6.984649181E0,6.317051888E0
8.616144919E0,1.629512191E0,7.089933395E0,6.278766632E0
8.636957907E0,1.651047587E0,7.164111137E0,6.230910301E0
8.657801413E0,1.660618901E0,7.142575741E0,6.159125328E0
8.678614401E0,1.643869162E0,7.142575741E0,6.178267956E0
8.699457907E0,1.658226132E0,7.125825882E0,6.180660725E0
8.720301413E0,1.593619823E0,7.135396957E0,6.238088608E0
8.741144919E0,1.548156261E0,7.104290485E0,6.297909260E0
8.761988425E0,1.497906923E0,7.097112179E0,6.278766632E0
8.782801413E0,1.497906923E0,7.073183537E0,6.197410583E0
8.803644919E0,1.533799291E0,7.058826923E0,6.092126369E0
8.824488425E0,1.555334687E0,7.168896675E0,6.137589931E0
8.845301413E0,1.586441398E0,7.252645493E0,6.151947021E0
